start_station_id,start_station_name,gbfs_name,gbfs_id
5570.04,Grand Ave & Remsen Pl,Grand Ave & Remsen Pl,9ea2afff-a146-4824-89b6-39d5bdfac795
6364.10,6 Ave & W 34 St,6 Ave & W 34 St,547cdccc-7864-4898-97c9-8798d924ef54
7680.03,Cathedral Pkwy & Broadway,Cathedral Pkwy & Broadway,66de3fde-0aca-11e7-82f6-3863bb44ef7c
5024.10,Water St & Fletcher St,Water St & Fletcher St,89d4a926-f1ae-4bf2-bf2d-59cff3881579
5422.04,Howard St & Lafayette St,Howard St & Lafayette St,66db479e-0aca-11e7-82f6-3863bb44ef7c
5805.07,7 Ave S & Bleecker St,7 Ave S & Bleecker St,c466f15e-715f-411e-904e-1a71fb574cdd
6926.01,W 52 St & 11 Ave,W 52 St & 11 Ave,66db237e-0aca-11e7-82f6-3863bb44ef7c
5045.05,Division Ave & Hooper St,Division Ave & Hooper St,e58234a3-5b23-427e-948f-c1e4571b2bfa
4651.02,Clinton Ave & Myrtle Ave,Clinton Ave & Myrtle Ave,66dbcd6c-0aca-11e7-82f6-3863bb44ef7c
5613.04,Kingsland Ave & Nassau Ave,Kingsland Ave & Nassau Ave,457ea5d7-d643-4028-87db-46dee0b81555
5187.03,Hope St & Union Ave,Hope St & Union Ave,66dcf30d-0aca-11e7-82f6-3863bb44ef7c
6115.09,W 15 St & 10 Ave,W 15 St & 10 Ave,2527619f-ef89-425c-bf3b-60cc0ec519bf
5826.02,India St & Manhattan Ave,India St & Manhattan Ave,66dd2060-0aca-11e7-82f6-3863bb44ef7c
4151.01,Smith St & 3 St,Smith St & 3 St,66de4078-0aca-11e7-82f6-3863bb44ef7c
5190.09,Clinton St & Cherry St,Clinton St & Cherry St,f833d403-2cf5-424a-a3b3-0314a44b4a67
4010.13,Plaza St West & Flatbush Ave,Plaza St West & Flatbush Ave,66de5e5b-0aca-11e7-82f6-3863bb44ef7c
4939.07,Suydam St & Knickerbocker Ave,Suydam St & Knickerbocker Ave,145bbc0d-8976-45ae-9565-158ba564d3d1
6654.05,31 Ave & 61 St,31 Ave & 61 St,ce700c09-6095-4b20-ab65-07defdd1a7d7
3943.03,St Johns Pl & Kingston Ave,St Johns Pl & Kingston Ave,74f913d2-6eac-49ce-bd6d-53a06fa855a6
